SignId,Id,X,Y,Z,Retro,angle,distance,UTC
2,41234,33.7872547,-84.4056245,244.834,0.74,-0.17845,7.688,66091.162
2,41235,33.7872546,-84.4056243,244.759,0.74,-0.18872,7.678,66091.162
2,41236,33.7872546,-84.4056243,244.678,0.74,-0.19899,7.695,66091.162
2,41237,33.7872545,-84.4056240,244.604,0.74,-0.20926,7.683,66091.162
2,41238,33.7872545,-84.4056241,244.522,0.76,-0.21954,7.706,66091.162
2,41290,33.7872545,-84.4056248,245.403,0.73,-0.10654,7.504,66091.175
2,41291,33.7872545,-84.4056248,245.325,0.75,-0.11681,7.515,66091.175
2,41292,33.7872545,-84.4056249,245.246,0.74,-0.12708,7.533,66091.175
2,41293,33.7872544,-84.4056247,245.170,0.74,-0.13735,7.527,66091.175
2,41294,33.7872544,-84.4056247,245.092,0.74,-0.14762,7.537,66091.175
2,41295,33.7872543,-84.4056246,245.017,0.75,-0.15789,7.531,66091.175
2,41296,33.7872542,-84.4056242,244.945,0.74,-0.16816,7.508,66091.175
2,41297,33.7872542,-84.4056244,244.863,0.75,-0.17844,7.540,66091.175
2,41298,33.7872541,-84.4056241,244.790,0.74,-0.18871,7.527,66091.175
2,41299,33.7872541,-84.4056241,244.711,0.75,-0.19898,7.545,66091.175
2,41300,33.7872541,-84.4056241,244.632,0.74,-0.20926,7.558,66091.175
2,41301,33.7872540,-84.4056241,244.554,0.75,-0.21953,7.569,66091.175
2,41354,33.7872542,-84.4056251,245.417,0.53,-0.10643,7.399,66091.188
2,41355,33.7872541,-84.4056249,245.343,0.74,-0.11670,7.388,66091.188
2,41356,33.7872540,-84.4056247,245.194,0.74,-0.13724,7.386,66091.188
2,41357,33.7872539,-84.4056247,245.117,0.74,-0.14751,7.397,66091.188
2,41358,33.7872539,-84.4056246,245.042,0.76,-0.15779,7.397,66091.189
2,41359,33.7872538,-84.4056245,244.967,0.75,-0.16806,7.401,66091.189
2,41360,33.7872537,-84.4056243,244.893,0.74,-0.17833,7.398,66091.189
2,41361,33.7872538,-84.4056244,244.813,0.74,-0.18860,7.422,66091.189
