query_lat,query_lon,query_alt,index,lidar_lat,lidar_long,lidar_alt,retro,count,x_cart,y_cart,z_cart
33.8369315,-84.2490125,326.1505001,106749,33.836849421,-84.249116549,333.0919,0.7879999999999999,1789,4544.252925377586,11.939237501630405,-131.4672983557807
33.8369315,-84.2490125,326.1505001,106750,33.836849294000004,-84.249116587,332.9056,0.804,1789,4544.2387046660115,11.935719667507916,-131.28100848268204
33.8369315,-84.2490125,326.1505001,106751,33.836849092,-84.249116704,332.7248,0.816,1789,4544.216168483708,11.92488915243732,-131.1002245707966
33.8369315,-84.2490125,326.1505001,106752,33.836849031,-84.249116672,332.5371,0.7959999999999999,1789,4544.2092678433255,11.927850918255203,-130.91252945113578
33.8369315,-84.2490125,326.1505001,106753,33.836848959,-84.24911665100001,332.3514,0.804,1789,4544.201148455154,11.929794463666589,-130.72683520482568
33.8369315,-84.2490125,326.1505001,106754,33.836848915,-84.249116602,332.1656,0.8079999999999999,1789,4544.196134903968,11.934329849923458,-130.5410387330262
33.8369315,-84.2490125,326.1505001,106755,33.83684882,-84.249116607,331.9836,0.8240000000000001,1789,4544.18546687922,11.93386669283959,-130.3590463152438
33.8369315,-84.2490125,326.1505001,106756,33.836848747,-84.249116589,331.8017,0.8240000000000001,1789,4544.177239282664,11.935532549775916,-130.17715214800464
33.8369315,-84.2490125,326.1505001,106757,33.836848585,-84.249116668,331.6251,0.831,1789,4544.159143122353,11.928219540296755,-130.00056505543066
33.8369315,-84.2490125,326.1505001,106758,33.836848559,-84.249116602,331.4432,0.8390000000000001,1789,4544.156129018206,11.934328549159813,-129.818667153582
33.8369315,-84.2490125,326.1505001,106759,33.836850514,-84.249115514,335.7608,0.7609999999999999,1789,4544.376075108982,12.03504804637881,-134.1361108041166
33.8369315,-84.2490125,326.1505001,106760,33.836850387,-84.249115539,335.5519,0.753,1789,4544.36183822728,12.03273352297046,-133.9272209357827
33.8369315,-84.2490125,326.1505001,106761,33.836850360999996,-84.249115456,335.337,0.769,1789,4544.358800521381,12.04041609065968,-133.7123230374137
33.8369315,-84.2490125,326.1505001,106762,33.836850166,-84.249115558,335.1385,0.769,1789,4544.337028151004,12.030974023291177,-133.51383857225866
33.8369315,-84.2490125,326.1505001,106763,33.836850081,-84.24911554100001,334.9329,0.765,1789,4544.327452497644,12.032547266879897,-133.3082453636453
33.8369315,-84.2490125,326.1505001,106764,33.836849991,-84.24911553,334.73,0.773,1789,4544.317324148931,12.033565122841491,-133.1053525520212
33.8369315,-84.2490125,326.1505001,106765,33.836849889,-84.249115535,334.53,0.78,1789,4544.305866768486,12.033101929928574,-132.9053606934793
33.8369315,-84.2490125,326.1505001,106766,33.836849749,-84.249115581,334.3348,0.773,1789,4544.290197656652,12.028843551882849,-132.71017185620173
33.8369315,-84.2490125,326.1505001,106767,33.836849684,-84.249115546,334.1358,0.7759999999999999,1789,4544.2828452322765,12.032082992308105,-132.51117705509543
33.8369315,-84.2490125,326.1505001,106768,33.836849613000005,-84.249115519,333.9393,0.78,1789,4544.274829043529,12.034581910144903,-132.31468273179328
33.8369315,-84.2490125,326.1505001,106769,33.836849375999996,-84.249115673,333.7559,0.804,1789,4544.248408610448,12.020326453252876,-132.131301604086
33.8369315,-84.2490125,326.1505001,106770,33.836849404,-84.24911554100001,333.5561,0.784,1789,4544.251371673806,12.032544767164401,-131.93149940990656
33.8369315,-84.2490125,326.1505001,106771,33.836849244,-84.249115612,333.3703,0.78,1789,4544.233490780105,12.025972263551658,-131.74571215966904
33.8369315,-84.2490125,326.1505001,106772,33.836849082,-84.249115687,333.1862,0.7879999999999999,1789,4544.215389252205,12.019029499833563,-131.5616250681371
33.8369315,-84.2490125,326.1505001,106773,33.83684899,-84.249115687,332.9989,0.792,1789,4544.205050210981,12.019029160082754,-131.37433241423253
33.8369315,-84.2490125,326.1505001,106774,33.836848874,-84.24911571199999,332.8145,0.8079999999999999,1789,4544.192051036293,12.0167146839946,-131.18994166471072
33.8369315,-84.2490125,326.1505001,106775,33.836848824,-84.249115668,332.6276,0.792,1789,4544.186371147318,12.020787235536561,-131.00304566947776
33.8369315,-84.2490125,326.1505001,106776,33.836848632,-84.249115777,332.4501,0.7959999999999999,1789,4544.16494658047,12.010697250090079,-130.8255609619985
33.8369315,-84.2490125,326.1505001,106777,33.836848548,-84.249115771,332.2677,0.8,1789,4544.155498448173,12.011252314066768,-130.64316767022754
33.8369315,-84.2490125,326.1505001,106778,33.836848458,-84.249115772,332.0868,0.8240000000000001,1789,4544.145385838155,12.011159421265202,-130.46227485420206
